m	k	n	total_flops	total_gigabytes_transferred	testsuite	test_name	test_start_timestamp	test_end_timestamp	tflops_per_sec_p50	tflops_per_sec_p90	tflops_per_sec_p95	tflops_per_sec_p99	tflops_per_sec_avg	data_transfer_gbyte_sec_p50	data_transfer_gbyte_sec_p90	data_transfer_gbyte_sec_p95	data_transfer_gbyte_sec_p99	data_transfer_gbyte_sec_avg
11264	11264	11264	2858300735488	0.761266176	microbenchmark	single_host_naive_matmul	2026-06-04T17:57:13.671904+00:00Z	2026-06-04T17:57:15.522205+00:00Z	568.4564403982481	568.4564403982481	568.4564403982481	568.4564403982481	568.4564403982481	151.39997524811298	151.39997524811298	151.39997524811298	151.39997524811298	151.39997524811298
12288	12288	12288	3710851743744	0.905969664	microbenchmark	single_host_naive_matmul	2026-06-04T17:57:15.523211+00:00Z	2026-06-04T17:57:17.515206+00:00Z	780.2334114131459	780.2334114131459	780.2334114131459	780.2334114131459	780.2334114131459	190.48667270828756	190.48667270828756	190.48667270828756	190.48667270828756	190.48667270828756
13312	13312	13312	4718021574656	1.063256064	microbenchmark	single_host_naive_matmul	2026-06-04T17:57:17.516214+00:00Z	2026-06-04T17:57:19.589304+00:00Z	733.1312712131694	733.1312712131694	733.1312712131694	733.1312712131694	733.1312712131694	165.21888624094862	165.21888624094862	165.21888624094862	165.21888624094862	165.21888624094862
14336	14336	14336	5892695130112	1.233125376	microbenchmark	single_host_naive_matmul	2026-06-04T17:57:19.590320+00:00Z	2026-06-04T17:57:21.879485+00:00Z	774.0786149692141	774.0786149692141	774.0786149692141	774.0786149692141	774.0786149692141	161.9863173066157	161.9863173066157	161.9863173066157	161.9863173066157	161.9863173066157
15360	15360	15360	7247757312000	1.4155776	microbenchmark	single_host_naive_matmul	2026-06-04T17:57:21.880512+00:00Z	2026-06-04T17:57:24.111263+00:00Z	730.6996594172181	730.6996594172181	730.6996594172181	730.6996594172181	730.6996594172181	142.71477722992543	142.71477722992543	142.71477722992543	142.71477722992543	142.71477722992543
16384	16384	16384	8796093022208	1.610612736	microbenchmark	single_host_naive_matmul	2026-06-04T17:57:24.112300+00:00Z	2026-06-04T17:57:26.460333+00:00Z	710.4465162551626	710.4465162551626	710.4465162551626	710.4465162551626	710.4465162551626	130.08664238070605	130.08664238070605	130.08664238070605	130.08664238070605	130.08664238070605
17408	17408	17408	10550587162624	1.818230784	microbenchmark	single_host_naive_matmul	2026-06-04T17:57:26.461361+00:00Z	2026-06-04T17:57:28.903486+00:00Z	723.2718065442335	723.2718065442335	723.2718065442335	723.2718065442335	723.2718065442335	124.64472769029759	124.64472769029759	124.64472769029759	124.64472769029759	124.64472769029759
18432	18432	18432	12524124635136	2.038431744	microbenchmark	single_host_naive_matmul	2026-06-04T17:57:28.904522+00:00Z	2026-06-04T17:57:31.299509+00:00Z	793.7721219764809	793.7721219764809	793.7721219764809	793.7721219764809	793.7721219764809	129.19468131127618	129.19468131127618	129.19468131127618	129.19468131127618	129.19468131127618
19456	19456	19456	14729590341632	2.271215616	microbenchmark	single_host_naive_matmul	2026-06-04T17:57:31.300537+00:00Z	2026-06-04T17:57:33.856140+00:00Z	694.1523947223915	694.1523947223915	694.1523947223915	694.1523947223915	694.1523947223915	107.0341891533293	107.0341891533293	107.0341891533293	107.0341891533293	107.0341891533293
20480	20480	20480	17179869184000	2.5165824	microbenchmark	single_host_naive_matmul	2026-06-04T17:57:33.857133+00:00Z	2026-06-04T17:57:36.527254+00:00Z	714.5106822532656	714.5106822532656	714.5106822532656	714.5106822532656	714.5106822532656	104.6646507206932	104.6646507206932	104.6646507206932	104.6646507206932	104.6646507206932
21504	21504	21504	19887846064128	2.774532096	microbenchmark	single_host_naive_matmul	2026-06-04T17:57:36.528276+00:00Z	2026-06-04T17:57:39.288026+00:00Z	731.2067531813763	731.2067531813763	731.2067531813763	731.2067531813763	731.2067531813763	102.00987070052682	102.00987070052682	102.00987070052682	102.00987070052682	102.00987070052682
22528	22528	22528	22866405883904	3.045064704	microbenchmark	single_host_naive_matmul	2026-06-04T17:57:39.289027+00:00Z	2026-06-04T17:57:42.208967+00:00Z	731.3219538575504	731.3219538575504	731.3219538575504	731.3219538575504	731.3219538575504	97.38839939509282	97.38839939509282	97.38839939509282	97.38839939509282	97.38839939509282
23552	23552	23552	26128433545216	3.328180224	microbenchmark	single_host_naive_matmul	2026-06-04T17:57:42.209982+00:00Z	2026-06-04T17:57:45.224340+00:00Z	706.8488247062244	706.8488247062244	706.8488247062244	706.8488247062244	706.8488247062244	90.03678983180508	90.03678983180508	90.03678983180508	90.03678983180508	90.03678983180508
24576	24576	24576	29686813949952	3.623878656	microbenchmark	single_host_naive_matmul	2026-06-04T17:57:45.225352+00:00Z	2026-06-04T17:57:48.232532+00:00Z	808.8536599601039	808.8536599601039	808.8536599601039	808.8536599601039	808.8536599601039	98.73701903809861	98.73701903809861	98.73701903809861	98.73701903809861	98.73701903809861
25600	25600	25600	33554432000000	3.93216	microbenchmark	single_host_naive_matmul	2026-06-04T17:57:48.233554+00:00Z	2026-06-04T17:57:51.481819+00:00Z	736.8877332107621	736.8877332107621	736.8877332107621	736.8877332107621	736.8877332107621	86.35403123563619	86.35403123563619	86.35403123563619	86.35403123563619	86.35403123563619
26624	26624	26624	37744172597248	4.253024256	microbenchmark	single_host_naive_matmul	2026-06-04T17:57:51.482850+00:00Z	2026-06-04T17:57:54.759324+00:00Z	724.2687981624924	724.2687981624924	724.2687981624924	724.2687981624924	724.2687981624924	81.61081710064143	81.61081710064143	81.61081710064143	81.61081710064143	81.61081710064143
27648	27648	27648	42268920643584	4.586471424	microbenchmark	single_host_naive_matmul	2026-06-04T17:57:54.760368+00:00Z	2026-06-04T17:57:58.190448+00:00Z	731.1765980757496	731.1765980757496	731.1765980757496	731.1765980757496	731.1765980757496	79.33773850648323	79.33773850648323	79.33773850648323	79.33773850648323	79.33773850648323
28672	28672	28672	47141561040896	4.932501504	microbenchmark	single_host_naive_matmul	2026-06-04T17:57:58.191494+00:00Z	2026-06-04T17:58:01.659585+00:00Z	726.0562060714252	726.0562060714252	726.0562060714252	726.0562060714252	726.0562060714252	75.96849254374567	75.96849254374567	75.96849254374567	75.96849254374567	75.96849254374567
29696	29696	29696	52374978691072	5.291114496	microbenchmark	single_host_naive_matmul	2026-06-04T17:58:01.660491+00:00Z	2026-06-04T17:58:05.424795+00:00Z	698.6518207457539	698.6518207457539	698.6518207457539	698.6518207457539	698.6518207457539	70.58039676176124	70.58039676176124	70.58039676176124	70.58039676176124	70.58039676176124
30720	30720	30720	57982058496000	5.6623104	microbenchmark	single_host_naive_matmul	2026-06-04T17:58:05.425689+00:00Z	2026-06-04T17:58:09.345642+00:00Z	743.4151945257665	743.4151945257665	743.4151945257665	743.4151945257665	743.4151945257665	72.59914009040689	72.59914009040689	72.59914009040689	72.59914009040689	72.59914009040689
31744	31744	31744	63975685357568	6.046089216	microbenchmark	single_host_naive_matmul	2026-06-04T17:58:09.346691+00:00Z	2026-06-04T17:58:13.503611+00:00Z	735.3917824591962	735.3917824591962	735.3917824591962	735.3917824591962	735.3917824591962	69.49897137656214	69.49897137656214	69.49897137656214	69.49897137656214	69.49897137656214
32768	32768	32768	70368744177664	6.442450944	microbenchmark	single_host_naive_matmul	2026-06-04T17:58:13.504642+00:00Z	2026-06-04T17:58:17.714231+00:00Z	724.4877383099313	724.4877383099313	724.4877383099313	724.4877383099313	724.4877383099313	66.32883346343365	66.32883346343365	66.32883346343365	66.32883346343365	66.32883346343365
